Date,Link,Number of letters,how many about COVID,Major theme,other theme
"September 1, 2019",https://www.washingtonpost.com/business/economy/work-advice-updates-on-shedding-the-girl-label-and-the-overly-huggy-co-worker/2019/08/30/1c8a6108-ca9e-11e9-a4f3-c081a126de70_story.html,3,0,,
"September 6, 2019",https://www.washingtonpost.com/business/economy/work-advice-hr-vice-president-disparages-own-stepchild-with-special-needs-at-company-meetings/2019/09/06/ed00b7e8-cf6b-11e9-8c1c-7c8ee785b855_story.html,,,,
"September 13, 2019",https://www.washingtonpost.com/business/economy/work-advice-some-anxious-calls-from-the-public-are-cause-for-concern/2019/09/12/fe650e68-d3d9-11e9-86ac-0f250cc91758_story.html,,,,
"September 20, 2019",https://www.washingtonpost.com/business/economy/work-advice-how-do-i-respond-to-younger-colleagues-who-make-snarky-comments-about-my-age/2019/09/20/a0466b24-d965-11e9-bfb1-849887369476_story.html,,,,
"September 28, 2019",https://www.washingtonpost.com/business/economy/work-advice-how-im-fighting-sexism-at-my-workplace/2019/09/27/43ddb342-dfaf-11e9-b199-f638bf2c340f_story.html,,,,
"October 5, 2019",https://www.washingtonpost.com/business/work-advice-do-i-really-need-to-write-cover-letters-for-online-job-applications/2019/10/03/23c26bfe-e543-11e9-b403-f738899982d2_story.html,,,,
"October 12, 2019",https://www.washingtonpost.com/business/work-advice-how-can-a-female-inspector-stand-up-to-harassment-at-work-sites/2019/10/10/0a8bd952-e9d2-11e9-9c6d-436a0df4f31d_story.html,,,,
"October 19, 2019",https://www.washingtonpost.com/business/economy/how-can-a-staff-professional-cope-with-a-demanding-hypercritical-volunteer-on-a-nonprofit-committee/2019/10/17/fe18eee2-f059-11e9-8693-f487e46784aa_story.html,,,,
"October 26, 2019",https://www.washingtonpost.com/business/economy/is-it-legal-for-a-nonprofit-to-lay-off-a-part-timer-then-welcome-her-back-to-do-the-same-job-as-an-unpaid-volunteer/2019/10/24/69b91734-f50b-11e9-8cf0-4cc99f74d127_story.html,,,,
"November 2, 2019",https://www.washingtonpost.com/business/economy/as-a-writer-its-hard-to-make-a-name-for-yourself-when-editors-keep-misspelling-your-byline/2019/11/01/889ce630-fa7e-11e9-8190-6be4deb56e01_story.html,,,,
"November 7, 2019",https://www.washingtonpost.com/business/economy/make-plans-for-a-graceful-exit-from-your-job--even-before-you-land-the-new-position/2019/11/06/25a845b6-ffeb-11e9-9518-1e76abc088b6_story.html,,,,
"November 14, 2019",https://www.washingtonpost.com/business/2019/11/14/my-co-workers-are-grumbling-about-my-telework-privileges/,,,,
"November 21, 2019",https://www.washingtonpost.com/business/2019/11/21/split-shifts-unpredictable-hours-retail-workers-life/,,,,
"December 5, 2019",https://www.washingtonpost.com/business/2019/12/05/my-son-got-fired-contacting-customer-online/,,,,
"December 12, 2019",https://www.washingtonpost.com/business/2019/12/12/her-boss-has-made-her-work-all-major-holidays-last-years/,,,,
"December 19, 2019",https://www.washingtonpost.com/business/2019/12/19/after-opioid-addiction-recovering-nurse-struggles-find-job/,,,,
"December 26, 2019",https://www.washingtonpost.com/business/2019/12/26/new-years-resolution-set-better-work-boundaries/,,,,
"January 2, 2020",https://www.washingtonpost.com/business/2020/01/02/when-an-employer-actually-needs-best-man-job/,,,,
"January 9, 2020",https://www.washingtonpost.com/business/2020/01/09/call-lawyer-some-workplace-disputes-its-just-best-option/,,,,
"January 16, 2020",https://www.washingtonpost.com/business/2020/01/16/worker-burnout-is-real-heres-how-spot-it/,,,,
"January 23, 2020",https://www.washingtonpost.com/business/2020/01/23/ive-got-burnout-should-i-use-my-inheritance-quit-my-job/,,,,
"January 30, 2020",https://www.washingtonpost.com/business/2020/01/30/i-thought-we-were-friends-now-we-are-both-going-same-job/,,,,
"February 6, 2020",https://www.washingtonpost.com/business/2020/02/06/coworker-lazy-online-shopping-management/,,,,
"February 12, 2020",https://www.washingtonpost.com/business/2020/02/12/flu-shot-workplace/,,,,
"February 20, 2020",https://www.washingtonpost.com/business/2020/02/20/laziness-or-invisible-labor/,,,,
"February 27, 2020",https://www.washingtonpost.com/business/2020/02/27/gender-neutral-pronouns-workplace/,,,,
"March 5, 2020",https://www.washingtonpost.com/business/2020/03/05/real-job-grad-school/,,,,
"March 12, 2020",https://www.washingtonpost.com/business/2020/03/12/coworker-moody-anxious/,,,,
"March 19, 2020",https://www.washingtonpost.com/business/2020/03/19/my-co-worker-burps-loudly-engages-self-talk/,,,,
"March 26, 2020",https://www.washingtonpost.com/business/2020/03/26/remote-work-/,,,,
"April 2, 2020",https://www.washingtonpost.com/business/2020/04/02/can-my-employer-force-me-go-work/,,,,
"April 9, 2020",https://www.washingtonpost.com/business/2020/04/09/furlough-coronavirus-workload/,,,,
"April 16, 2020",https://www.washingtonpost.com/business/2020/04/16/before-you-forward-that-uplifting-email-homebound-colleagues-think-again/,,,,
"April 23, 2020",https://www.washingtonpost.com/business/2020/04/23/your-questions-about-paycheck-protection-program-furloughs/,,,,
"April 29, 2020",https://www.washingtonpost.com/business/2020/04/29/faq-workplace-rights-coronavirus/,,,,
"May 7, 2020",https://www.washingtonpost.com/business/2020/05/07/quarantine-life-meetings-outside-office-hours-are-becoming-constant/,,,,
"May 14, 2020",https://www.washingtonpost.com/business/2020/05/14/my-boss-is-tired-me-bringing-my-child-work/,,,,
"May 21, 2020",https://www.washingtonpost.com/business/2020/05/21/team-building-coronavirus-pandemic-cash-time-off-thank-you-notes/,,,,
"May 28, 2020",https://www.washingtonpost.com/business/2020/05/28/coronavirus-workplace-retirement-celebrations-are-another-casualty/,,,,
"June 4, 2020",https://www.washingtonpost.com/business/2020/06/04/coronavirus-forces-older-workers-into-involuntary-retirement/,,,,
"June 11, 2020",https://www.washingtonpost.com/business/2020/06/11/work-conditions-coronavirus/,,,,
"June 17, 2020",https://www.washingtonpost.com/business/2020/06/17/pandemic-stress-is-bringing-out-our-bosss-nasty-side/,,,,
"June 25, 2020",https://www.washingtonpost.com/business/2020/06/25/restaurant-defends-offer-rehire-servers-do-heavy-maintenance-work/,,,,
